,subID,score,source,target,Identity,Condition
1,5202,0.5,Exp5_Morality,Exp5_Morality,None,None
2,5203,0.5,Exp5_Morality,Exp5_Morality,None,None
3,5204,0.5,Exp5_Morality,Exp5_Morality,None,None
4,5205,0.5,Exp5_Morality,Exp5_Morality,None,None
5,5206,0.5,Exp5_Morality,Exp5_Morality,None,None
6,5207,0.5,Exp5_Morality,Exp5_Morality,None,None
7,5208,0.5,Exp5_Morality,Exp5_Morality,None,None
8,5209,0.5,Exp5_Morality,Exp5_Morality,None,None
9,5210,0.5,Exp5_Morality,Exp5_Morality,None,None
10,5211,0.5,Exp5_Morality,Exp5_Morality,None,None
11,5212,0.5,Exp5_Morality,Exp5_Morality,None,None
12,5213,0.5,Exp5_Morality,Exp5_Morality,None,None
13,5215,0.5,Exp5_Morality,Exp5_Morality,None,None
14,5216,0.5,Exp5_Morality,Exp5_Morality,None,None
15,5217,0.5,Exp5_Morality,Exp5_Morality,None,None
16,5218,0.5,Exp5_Morality,Exp5_Morality,None,None
17,5219,0.5,Exp5_Morality,Exp5_Morality,None,None
18,5220,0.5,Exp5_Morality,Exp5_Morality,None,None
19,5221,0.5,Exp5_Morality,Exp5_Morality,None,None
20,5222,0.5,Exp5_Morality,Exp5_Morality,None,None
21,5223,0.5,Exp5_Morality,Exp5_Morality,None,None
22,5225,0.5,Exp5_Morality,Exp5_Morality,None,None
23,5226,0.5,Exp5_Morality,Exp5_Morality,None,None
24,5227,0.5,Exp5_Morality,Exp5_Morality,None,None
25,5228,0.5,Exp5_Morality,Exp5_Morality,None,None
26,5229,0.5,Exp5_Morality,Exp5_Morality,None,None
27,5230,0.5,Exp5_Morality,Exp5_Morality,None,None
28,5231,0.5,Exp5_Morality,Exp5_Morality,None,None
29,5233,0.5,Exp5_Morality,Exp5_Morality,None,None
30,5234,0.5,Exp5_Morality,Exp5_Morality,None,None
31,5235,0.5,Exp5_Morality,Exp5_Morality,None,None
32,5236,0.5,Exp5_Morality,Exp5_Morality,None,None
33,5237,0.5,Exp5_Morality,Exp5_Morality,None,None
34,5238,0.5,Exp5_Morality,Exp5_Morality,None,None
35,5239,0.5,Exp5_Morality,Exp5_Morality,None,None
36,5240,0.5,Exp5_Morality,Exp5_Morality,None,None
37,5242,0.5,Exp5_Morality,Exp5_Morality,None,None
0,5201,0.5,Exp5_Emotion,Exp5_Emotion,None,None
1,5202,0.5,Exp5_Emotion,Exp5_Emotion,None,None
2,5203,0.5,Exp5_Emotion,Exp5_Emotion,None,None
3,5204,0.5,Exp5_Emotion,Exp5_Emotion,None,None
4,5205,0.5,Exp5_Emotion,Exp5_Emotion,None,None
5,5206,0.5,Exp5_Emotion,Exp5_Emotion,None,None
6,5207,0.5,Exp5_Emotion,Exp5_Emotion,None,None
7,5208,0.5,Exp5_Emotion,Exp5_Emotion,None,None
8,5209,0.5,Exp5_Emotion,Exp5_Emotion,None,None
9,5210,0.5,Exp5_Emotion,Exp5_Emotion,None,None
10,5211,0.5,Exp5_Emotion,Exp5_Emotion,None,None
11,5212,0.5,Exp5_Emotion,Exp5_Emotion,None,None
12,5213,0.5,Exp5_Emotion,Exp5_Emotion,None,None
13,5215,0.5,Exp5_Emotion,Exp5_Emotion,None,None
14,5216,0.5,Exp5_Emotion,Exp5_Emotion,None,None
15,5217,0.5,Exp5_Emotion,Exp5_Emotion,None,None
16,5218,0.5,Exp5_Emotion,Exp5_Emotion,None,None
17,5219,0.5,Exp5_Emotion,Exp5_Emotion,None,None
18,5220,0.5,Exp5_Emotion,Exp5_Emotion,None,None
19,5221,0.5,Exp5_Emotion,Exp5_Emotion,None,None
20,5222,0.5,Exp5_Emotion,Exp5_Emotion,None,None
21,5223,0.5,Exp5_Emotion,Exp5_Emotion,None,None
22,5225,0.5,Exp5_Emotion,Exp5_Emotion,None,None
23,5226,0.5,Exp5_Emotion,Exp5_Emotion,None,None
24,5227,0.5,Exp5_Emotion,Exp5_Emotion,None,None
25,5228,0.5,Exp5_Emotion,Exp5_Emotion,None,None
26,5229,0.5,Exp5_Emotion,Exp5_Emotion,None,None
27,5230,0.5,Exp5_Emotion,Exp5_Emotion,None,None
28,5231,0.5,Exp5_Emotion,Exp5_Emotion,None,None
29,5233,0.5,Exp5_Emotion,Exp5_Emotion,None,None
30,5234,0.5,Exp5_Emotion,Exp5_Emotion,None,None
31,5235,0.5,Exp5_Emotion,Exp5_Emotion,None,None
32,5236,0.5,Exp5_Emotion,Exp5_Emotion,None,None
33,5237,0.5,Exp5_Emotion,Exp5_Emotion,None,None
34,5238,0.5,Exp5_Emotion,Exp5_Emotion,None,None
35,5239,0.5,Exp5_Emotion,Exp5_Emotion,None,None
36,5240,0.5,Exp5_Emotion,Exp5_Emotion,None,None
37,5242,0.5,Exp5_Emotion,Exp5_Emotion,None,None
0,5201,0.5,Exp5_Person,Exp5_Person,None,None
1,5202,0.5,Exp5_Person,Exp5_Person,None,None
2,5203,0.5,Exp5_Person,Exp5_Person,None,None
3,5204,0.5,Exp5_Person,Exp5_Person,None,None
4,5205,0.5,Exp5_Person,Exp5_Person,None,None
5,5206,0.5,Exp5_Person,Exp5_Person,None,None
6,5207,0.5,Exp5_Person,Exp5_Person,None,None
7,5208,0.5,Exp5_Person,Exp5_Person,None,None
8,5209,0.5,Exp5_Person,Exp5_Person,None,None
9,5210,0.5,Exp5_Person,Exp5_Person,None,None
10,5211,0.5,Exp5_Person,Exp5_Person,None,None
11,5212,0.5,Exp5_Person,Exp5_Person,None,None
12,5213,0.5,Exp5_Person,Exp5_Person,None,None
13,5215,0.5,Exp5_Person,Exp5_Person,None,None
14,5216,0.5,Exp5_Person,Exp5_Person,None,None
15,5217,0.5,Exp5_Person,Exp5_Person,None,None
16,5218,0.5,Exp5_Person,Exp5_Person,None,None
17,5219,0.5,Exp5_Person,Exp5_Person,None,None
18,5220,0.5,Exp5_Person,Exp5_Person,None,None
19,5221,0.5,Exp5_Person,Exp5_Person,None,None
20,5222,0.5,Exp5_Person,Exp5_Person,None,None
21,5223,0.5,Exp5_Person,Exp5_Person,None,None
22,5225,0.5,Exp5_Person,Exp5_Person,None,None
23,5226,0.5,Exp5_Person,Exp5_Person,None,None
24,5227,0.5,Exp5_Person,Exp5_Person,None,None
25,5228,0.5,Exp5_Person,Exp5_Person,None,None
26,5229,0.5,Exp5_Person,Exp5_Person,None,None
27,5230,0.5,Exp5_Person,Exp5_Person,None,None
28,5231,0.5,Exp5_Person,Exp5_Person,None,None
29,5233,0.5,Exp5_Person,Exp5_Person,None,None
30,5234,0.5,Exp5_Person,Exp5_Person,None,None
31,5235,0.5,Exp5_Person,Exp5_Person,None,None
32,5236,0.5,Exp5_Person,Exp5_Person,None,None
33,5237,0.5,Exp5_Person,Exp5_Person,None,None
34,5238,0.5,Exp5_Person,Exp5_Person,None,None
