,subID,score,source,target,Identity,Condition
0,1001,0.6203783888036911,Exp1a,Exp1a,None,None
1,1002,0.5569864601443549,Exp1a,Exp1a,None,None
2,1003,0.556350213723885,Exp1a,Exp1a,None,None
3,1004,0.4793272857597562,Exp1a,Exp1a,None,None
4,1005,0.5845693472647079,Exp1a,Exp1a,None,None
5,1006,0.45128225190472077,Exp1a,Exp1a,None,None
6,1007,0.5605672708413909,Exp1a,Exp1a,None,None
7,1008,0.45179925452474984,Exp1a,Exp1a,None,None
8,1009,0.4667468817222118,Exp1a,Exp1a,None,None
9,1010,0.47973741235053446,Exp1a,Exp1a,None,None
10,1012,0.5076392187161621,Exp1a,Exp1a,None,None
11,1013,0.5392132159622243,Exp1a,Exp1a,None,None
12,1014,0.48429124641480054,Exp1a,Exp1a,None,None
13,1015,0.4439372878866263,Exp1a,Exp1a,None,None
14,1016,0.5822858415331251,Exp1a,Exp1a,None,None
15,1017,0.5682210977844412,Exp1a,Exp1a,None,None
16,1019,0.49910162704779565,Exp1a,Exp1a,None,None
17,1021,0.44385365891546974,Exp1a,Exp1a,None,None
18,1022,0.5892547900429767,Exp1a,Exp1a,None,None
19,1023,0.5533941158149168,Exp1a,Exp1a,None,None
20,1024,0.5843711323401776,Exp1a,Exp1a,None,None
21,1025,0.5543098388861307,Exp1a,Exp1a,None,None
22,1026,0.4860135789386873,Exp1a,Exp1a,None,None
23,1027,0.5690760863463237,Exp1a,Exp1a,None,None
24,1028,0.5222911583490243,Exp1a,Exp1a,None,None
25,1029,0.5187797611022686,Exp1a,Exp1a,None,None
26,1030,0.4794090966822771,Exp1a,Exp1a,None,None
27,1031,0.6054709753469102,Exp1a,Exp1a,None,None
28,1032,0.572517448401955,Exp1a,Exp1a,None,None
29,1033,0.4019581782739678,Exp1a,Exp1a,None,None
30,1034,0.5100873311993787,Exp1a,Exp1a,None,None
31,1035,0.5743344993427892,Exp1a,Exp1a,None,None
32,1036,0.5202833725761676,Exp1a,Exp1a,None,None
33,1037,0.4970071454580753,Exp1a,Exp1a,None,None
34,1038,0.4831519522502499,Exp1a,Exp1a,None,None
35,1050,0.4807167843960521,Exp1a,Exp1a,None,None
36,1051,0.517312933497878,Exp1a,Exp1a,None,None
37,1054,0.5416488501860881,Exp1a,Exp1a,None,None
38,1055,0.4789190198584292,Exp1a,Exp1a,None,None
39,1061,0.5630677877775921,Exp1a,Exp1a,None,None
40,1062,0.4750942902703894,Exp1a,Exp1a,None,None
41,1063,0.5470920138888888,Exp1a,Exp1a,None,None
42,1064,0.47345564926660905,Exp1a,Exp1a,None,None
43,1067,0.5420480033078711,Exp1a,Exp1a,None,None
44,1068,0.54645025443704,Exp1a,Exp1a,None,None
45,1069,0.5117756216397238,Exp1a,Exp1a,None,None
46,1070,0.48861151084844856,Exp1a,Exp1a,None,None
47,1071,0.5346404590712949,Exp1a,Exp1a,None,None
48,1072,0.571766767030032,Exp1a,Exp1a,None,None
49,1074,0.571835612752238,Exp1a,Exp1a,None,None
50,1075,0.588602347629212,Exp1a,Exp1a,None,None
0,1101,0.5521208928226472,Exp1b,Exp1b,None,None
1,1102,0.5990719804871101,Exp1b,Exp1b,None,None
2,1103,0.5037373296429081,Exp1b,Exp1b,None,None
3,1104,0.5509954977978342,Exp1b,Exp1b,None,None
4,1106,0.5253717102274494,Exp1b,Exp1b,None,None
5,1107,0.5395198909557991,Exp1b,Exp1b,None,None
6,1108,0.5232466003840185,Exp1b,Exp1b,None,None
7,1113,0.5673144493504169,Exp1b,Exp1b,None,None
8,1114,0.5842456457912818,Exp1b,Exp1b,None,None
9,1115,0.543926129689984,Exp1b,Exp1b,None,None
10,1117,0.5390309846776846,Exp1b,Exp1b,None,None
11,1118,0.5194684157203618,Exp1b,Exp1b,None,None
12,1121,0.5675725034699394,Exp1b,Exp1b,None,None
13,1123,0.5227284385112597,Exp1b,Exp1b,None,None
14,1124,0.5616583780404817,Exp1b,Exp1b,None,None
15,1125,0.5496200771046383,Exp1b,Exp1b,None,None
16,1127,0.5392236484989475,Exp1b,Exp1b,None,None
17,1129,0.5377365087702747,Exp1b,Exp1b,None,None
18,1130,0.4916392463540507,Exp1b,Exp1b,None,None
19,1131,0.5451988665228621,Exp1b,Exp1b,None,None
20,1132,0.5269930374813485,Exp1b,Exp1b,None,None
21,1134,0.49839558208220525,Exp1b,Exp1b,None,None
22,1135,0.5821184358916409,Exp1b,Exp1b,None,None
23,1136,0.48878818767087084,Exp1b,Exp1b,None,None
24,1137,0.569335982657913,Exp1b,Exp1b,None,None
25,1138,0.5358144597542126,Exp1b,Exp1b,None,None
26,1139,0.5172509070648484,Exp1b,Exp1b,None,None
27,1141,0.516896720809536,Exp1b,Exp1b,None,None
28,1143,0.520830589157029,Exp1b,Exp1b,None,None
29,1144,0.3693101252028037,Exp1b,Exp1b,None,None
30,1148,0.5356334806695542,Exp1b,Exp1b,None,None
31,1149,0.5162548353112655,Exp1b,Exp1b,None,None
32,1150,0.5572067103325771,Exp1b,Exp1b,None,None
33,1152,0.4946311945112167,Exp1b,Exp1b,None,None
34,1153,0.5923258292953908,Exp1b,Exp1b,None,None
35,1155,0.5310754839192211,Exp1b,Exp1b,None,None
