Subject,Age,Handedness,Sex,BlockList.Sample,SubTrial,Label,Target,Shape,YesNoResp,Target.CRESP,Target.RESP,Target.ACC,Target.RT
1,25,right,male,,1,好人,T.bmp,Good,Yes,n,,0,0
1,25,right,male,,2,坏人,S.bmp,Bad,Yes,n,,0,0
1,25,right,male,,3,常人,C.bmp,Normal,Yes,n,,0,0
1,25,right,male,,4,好人,T.bmp,Good,Yes,n,n,1,637
1,25,right,male,,5,好人,C.bmp,Normal,No,m,,0,0
1,25,right,male,,6,坏人,T.bmp,Good,No,m,n,0,597
1,25,right,male,,7,好人,S.bmp,Bad,No,m,n,0,1061
1,25,right,male,,8,坏人,C.bmp,Normal,No,m,,0,0
1,25,right,male,,9,常人,C.bmp,Normal,Yes,n,,0,0
1,25,right,male,,10,常人,T.bmp,Good,No,m,,0,0
1,25,right,male,,11,常人,S.bmp,Bad,No,m,,0,0
1,25,right,male,,12,坏人,S.bmp,Bad,Yes,n,,0,0
1,25,right,male,1,1,坏人,S.bmp,Bad,Yes,n,n,1,495
1,25,right,male,1,2,坏人,S.bmp,Bad,Yes,n,m,0,991
1,25,right,male,1,3,坏人,C.bmp,Normal,No,m,,0,0
1,25,right,male,1,4,好人,C.bmp,Normal,No,m,,0,0
1,25,right,male,1,5,好人,S.bmp,Bad,No,m,n,0,704
1,25,right,male,1,6,常人,C.bmp,Normal,Yes,n,,0,0
1,25,right,male,1,7,坏人,T.bmp,Good,No,m,,0,0
1,25,right,male,1,8,常人,C.bmp,Normal,Yes,n,n,1,1016
1,25,right,male,1,9,好人,T.bmp,Good,Yes,n,,0,0
1,25,right,male,1,10,常人,S.bmp,Bad,No,m,,0,0
1,25,right,male,1,11,好人,T.bmp,Good,Yes,n,,0,0
1,25,right,male,1,12,常人,T.bmp,Good,No,m,m,1,865
1,25,right,male,1,13,好人,T.bmp,Good,Yes,n,n,1,1049
1,25,right,male,1,14,常人,C.bmp,Normal,Yes,n,m,0,817
1,25,right,male,1,15,好人,T.bmp,Good,Yes,n,n,1,865
1,25,right,male,1,16,常人,S.bmp,Bad,No,m,m,1,1065
1,25,right,male,1,17,坏人,S.bmp,Bad,Yes,n,,0,0
1,25,right,male,1,18,坏人,C.bmp,Normal,No,m,,0,0
1,25,right,male,1,19,常人,C.bmp,Normal,Yes,n,n,1,953
1,25,right,male,1,20,坏人,T.bmp,Good,No,m,m,1,937
1,25,right,male,1,21,好人,C.bmp,Normal,No,m,,0,0
1,25,right,male,1,22,好人,S.bmp,Bad,No,m,n,0,775
1,25,right,male,1,23,坏人,S.bmp,Bad,Yes,n,,0,0
1,25,right,male,1,24,常人,T.bmp,Good,No,m,,0,0
1,25,right,male,1,25,坏人,S.bmp,Bad,Yes,n,,0,0
1,25,right,male,1,26,好人,T.bmp,Good,Yes,n,n,1,584
1,25,right,male,1,27,好人,C.bmp,Normal,No,m,,0,0
1,25,right,male,1,28,坏人,T.bmp,Good,No,m,n,0,856
1,25,right,male,1,29,坏人,C.bmp,Normal,No,m,m,1,792
1,25,right,male,1,30,常人,C.bmp,Normal,Yes,n,n,1,1008
1,25,right,male,1,31,好人,S.bmp,Bad,No,m,,0,0
