,subID,score,source,target,source_Identity,target_Identity,source_ref,target_ref
93,1165,0.6026543459282104,No_Ref,No_Ref,None,None,None,None
94,1166,0.5517394990876295,No_Ref,No_Ref,None,None,None,None
95,1168,0.49622262191953553,No_Ref,No_Ref,None,None,None,None
96,1169,0.5758727127454069,No_Ref,No_Ref,None,None,None,None
97,1170,0.5708080204823439,No_Ref,No_Ref,None,None,None,None
98,1172,0.5364208785577307,No_Ref,No_Ref,None,None,None,None
99,1173,0.5258191959809511,No_Ref,No_Ref,None,None,None,None
100,1174,0.6050151037288317,No_Ref,No_Ref,None,None,None,None
101,1176,0.5796904162830018,No_Ref,No_Ref,None,None,None,None
102,1177,0.5255194986859095,No_Ref,No_Ref,None,None,None,None
103,1215,0.47696508687906514,No_Ref,No_Ref,None,None,None,None
104,1216,0.5647207558271855,No_Ref,No_Ref,None,None,None,None
105,1217,0.5671316013155533,No_Ref,No_Ref,None,None,None,None
106,1218,0.48039794979947975,No_Ref,No_Ref,None,None,None,None
107,1219,0.4558947323699354,No_Ref,No_Ref,None,None,None,None
108,1220,0.5864913797887029,No_Ref,No_Ref,None,None,None,None
109,1221,0.5117866898712501,No_Ref,No_Ref,None,None,None,None
110,1222,0.4877362709789798,No_Ref,No_Ref,None,None,None,None
111,1223,0.5244560185185185,No_Ref,No_Ref,None,None,None,None
112,1224,0.4536139276626048,No_Ref,No_Ref,None,None,None,None
113,1225,0.4282954896289655,No_Ref,No_Ref,None,None,None,None
114,1226,0.4577813441081065,No_Ref,No_Ref,None,None,None,None
115,1227,0.4427503819799916,No_Ref,No_Ref,None,None,None,None
116,1228,0.566270346651491,No_Ref,No_Ref,None,None,None,None
117,1229,0.4594433960024687,No_Ref,No_Ref,None,None,None,None
118,1230,0.5438632124651411,No_Ref,No_Ref,None,None,None,None
119,1231,0.5324022923978072,No_Ref,No_Ref,None,None,None,None
120,1232,0.5161084365450389,No_Ref,No_Ref,None,None,None,None
121,1233,0.5697162615166352,No_Ref,No_Ref,None,None,None,None
122,1234,0.4512840030419643,No_Ref,No_Ref,None,None,None,None
123,1235,0.5710240801843738,No_Ref,No_Ref,None,None,None,None
124,1236,0.5946661709684172,No_Ref,No_Ref,None,None,None,None
125,1237,0.42841293190105106,No_Ref,No_Ref,None,None,None,None
0,5201,0.45215689760878686,Exp5_Morality,Exp5_Morality,None,None,None,None
1,5202,0.5661154777385989,Exp5_Morality,Exp5_Morality,None,None,None,None
2,5203,0.5734110256398369,Exp5_Morality,Exp5_Morality,None,None,None,None
3,5204,0.5383485448522499,Exp5_Morality,Exp5_Morality,None,None,None,None
4,5205,0.5723188428197308,Exp5_Morality,Exp5_Morality,None,None,None,None
5,5206,0.547164891061027,Exp5_Morality,Exp5_Morality,None,None,None,None
6,5207,0.5149421296296296,Exp5_Morality,Exp5_Morality,None,None,None,None
7,5208,0.49830353356915885,Exp5_Morality,Exp5_Morality,None,None,None,None
8,5209,0.5798175448044663,Exp5_Morality,Exp5_Morality,None,None,None,None
9,5210,0.563189981875103,Exp5_Morality,Exp5_Morality,None,None,None,None
10,5211,0.5402803903988374,Exp5_Morality,Exp5_Morality,None,None,None,None
11,5212,0.5280965663810853,Exp5_Morality,Exp5_Morality,None,None,None,None
12,5213,0.5508399899507825,Exp5_Morality,Exp5_Morality,None,None,None,None
13,5215,0.5724062154448858,Exp5_Morality,Exp5_Morality,None,None,None,None
14,5216,0.5396527777777778,Exp5_Morality,Exp5_Morality,None,None,None,None
15,5217,0.5441652062359701,Exp5_Morality,Exp5_Morality,None,None,None,None
16,5218,0.5334110322070923,Exp5_Morality,Exp5_Morality,None,None,None,None
17,5219,0.6536488707025787,Exp5_Morality,Exp5_Morality,None,None,None,None
18,5220,0.4776961218977971,Exp5_Morality,Exp5_Morality,None,None,None,None
19,5221,0.5089138351471605,Exp5_Morality,Exp5_Morality,None,None,None,None
20,5222,0.6056974602649243,Exp5_Morality,Exp5_Morality,None,None,None,None
21,5223,0.4973890429600046,Exp5_Morality,Exp5_Morality,None,None,None,None
22,5225,0.5097513005998268,Exp5_Morality,Exp5_Morality,None,None,None,None
23,5226,0.524609205606929,Exp5_Morality,Exp5_Morality,None,None,None,None
24,5227,0.546186246477139,Exp5_Morality,Exp5_Morality,None,None,None,None
25,5228,0.5185118341272967,Exp5_Morality,Exp5_Morality,None,None,None,None
26,5229,0.4895172579508811,Exp5_Morality,Exp5_Morality,None,None,None,None
27,5230,0.5462610663590319,Exp5_Morality,Exp5_Morality,None,None,None,None
