Subject,Age,Handedness,Sex,BlockList.Sample,SubTrial,Label,Target,Shape,YesNoResp,Target.CRESP,Target.RESP,Target.ACC,Target.RT
1,22,right,male,,1,恶人,S.bmp,Bad,Yes,n,,0,0
1,22,right,male,,2,善人,T.bmp,Good,Yes,n,,0,0
1,22,right,male,,3,常人,C.bmp,Normal,Yes,n,,0,0
1,22,right,male,,4,善人,T.bmp,Good,Yes,n,m,0,510
1,22,right,male,,5,恶人,T.bmp,Good,No,m,,0,0
1,22,right,male,,6,善人,C.bmp,Normal,No,m,,0,0
1,22,right,male,,7,善人,S.bmp,Bad,No,m,m,1,1032
1,22,right,male,,8,恶人,S.bmp,Bad,Yes,n,m,0,884
1,22,right,male,,9,恶人,C.bmp,Normal,No,m,,0,0
1,22,right,male,,10,常人,S.bmp,Bad,No,m,m,1,906
1,22,right,male,,11,常人,T.bmp,Good,No,m,,0,0
1,22,right,male,,12,常人,C.bmp,Normal,Yes,n,m,0,705
1,22,right,male,,13,善人,C.bmp,Normal,No,m,m,1,507
1,22,right,male,,14,常人,T.bmp,Good,No,m,,0,0
1,22,right,male,,15,常人,C.bmp,Normal,Yes,n,m,0,642
1,22,right,male,,16,善人,T.bmp,Good,Yes,n,m,0,949
1,22,right,male,,17,恶人,S.bmp,Bad,Yes,n,m,0,785
1,22,right,male,,18,恶人,S.bmp,Bad,Yes,n,m,0,924
1,22,right,male,,19,常人,C.bmp,Normal,Yes,n,m,0,1039
1,22,right,male,,20,常人,S.bmp,Bad,No,m,,0,0
1,22,right,male,,21,善人,T.bmp,Good,Yes,n,n,1,598
1,22,right,male,,22,善人,S.bmp,Bad,No,m,m,1,602
1,22,right,male,,23,恶人,C.bmp,Normal,No,m,m,1,1045
1,22,right,male,,24,恶人,T.bmp,Good,No,m,m,1,913
1,22,right,male,,25,善人,C.bmp,Normal,No,m,m,1,643
1,22,right,male,,26,恶人,C.bmp,Normal,No,m,m,1,585
1,22,right,male,,27,恶人,S.bmp,Bad,Yes,n,n,1,418
1,22,right,male,,28,常人,C.bmp,Normal,Yes,n,m,0,829
1,22,right,male,,29,常人,S.bmp,Bad,No,m,m,1,889
1,22,right,male,,30,善人,T.bmp,Good,Yes,n,n,1,916
1,22,right,male,,31,恶人,T.bmp,Good,No,m,m,1,719
1,22,right,male,,32,善人,T.bmp,Good,Yes,n,n,1,939
1,22,right,male,,33,恶人,S.bmp,Bad,Yes,n,n,1,766
1,22,right,male,,34,善人,S.bmp,Bad,No,m,m,1,818
1,22,right,male,,35,常人,C.bmp,Normal,Yes,n,m,0,701
1,22,right,male,,36,常人,T.bmp,Good,No,m,,0,0
1,22,right,male,1,1,善人,T.bmp,Good,Yes,n,n,1,776
1,22,right,male,1,2,恶人,S.bmp,Bad,Yes,n,n,1,987
1,22,right,male,1,3,常人,S.bmp,Bad,No,m,m,1,894
1,22,right,male,1,4,恶人,T.bmp,Good,No,m,m,1,802
1,22,right,male,1,5,常人,C.bmp,Normal,Yes,n,n,1,1053
1,22,right,male,1,6,善人,C.bmp,Normal,No,m,m,1,889
1,22,right,male,1,7,常人,C.bmp,Normal,Yes,n,n,1,1076
1,22,right,male,1,8,恶人,C.bmp,Normal,No,m,m,1,727
1,22,right,male,1,9,善人,T.bmp,Good,Yes,n,n,1,675
1,22,right,male,1,10,常人,T.bmp,Good,No,m,m,1,878
1,22,right,male,1,11,恶人,S.bmp,Bad,Yes,n,n,1,714
1,22,right,male,1,12,善人,S.bmp,Bad,No,m,m,1,725
1,22,right,male,1,13,恶人,S.bmp,Bad,Yes,n,n,1,905
1,22,right,male,1,14,常人,C.bmp,Normal,Yes,n,n,1,1068
1,22,right,male,1,15,善人,C.bmp,Normal,No,m,n,0,903
1,22,right,male,1,16,恶人,S.bmp,Bad,Yes,n,n,1,763
1,22,right,male,1,17,善人,T.bmp,Good,Yes,n,n,1,750
1,22,right,male,1,18,恶人,T.bmp,Good,No,m,m,1,634
1,22,right,male,1,19,常人,T.bmp,Good,No,m,m,1,909
1,22,right,male,1,20,常人,C.bmp,Normal,Yes,n,,0,0
1,22,right,male,1,21,恶人,C.bmp,Normal,No,m,m,1,691
1,22,right,male,1,22,常人,S.bmp,Bad,No,m,n,0,662
1,22,right,male,1,23,善人,T.bmp,Good,Yes,n,n,1,658
1,22,right,male,1,24,善人,S.bmp,Bad,No,m,m,1,901
1,22,right,male,1,25,善人,S.bmp,Bad,No,m,m,1,849
1,22,right,male,1,26,善人,C.bmp,Normal,No,m,,0,0
1,22,right,male,1,27,善人,T.bmp,Good,Yes,n,n,1,919
1,22,right,male,1,28,恶人,T.bmp,Good,No,m,m,1,659
1,22,right,male,1,29,恶人,S.bmp,Bad,Yes,n,m,0,958
1,22,right,male,1,30,常人,T.bmp,Good,No,m,m,1,826
1,22,right,male,1,31,常人,C.bmp,Normal,Yes,n,m,0,981
1,22,right,male,1,32,常人,S.bmp,Bad,No,m,m,1,873
1,22,right,male,1,33,常人,C.bmp,Normal,Yes,n,m,0,748
1,22,right,male,1,34,恶人,C.bmp,Normal,No,m,m,1,799
1,22,right,male,1,35,恶人,S.bmp,Bad,Yes,n,n,1,867
1,22,right,male,1,36,善人,T.bmp,Good,Yes,n,n,1,782
1,22,right,male,1,37,恶人,C.bmp,Normal,No,m,m,1,850
1,22,right,male,1,38,恶人,S.bmp,Bad,Yes,n,n,1,701
1,22,right,male,1,39,善人,C.bmp,Normal,No,m,m,1,816
1,22,right,male,1,40,善人,T.bmp,Good,Yes,n,n,1,740
1,22,right,male,1,41,常人,T.bmp,Good,No,m,m,1,831
1,22,right,male,1,42,常人,C.bmp,Normal,Yes,n,n,1,819
1,22,right,male,1,43,恶人,S.bmp,Bad,Yes,n,m,0,846
1,22,right,male,1,44,善人,S.bmp,Bad,No,m,m,1,730
1,22,right,male,1,45,常人,S.bmp,Bad,No,m,,0,0
1,22,right,male,1,46,善人,T.bmp,Good,Yes,n,n,1,800
1,22,right,male,1,47,恶人,T.bmp,Good,No,m,m,1,652
1,22,right,male,1,48,常人,C.bmp,Normal,Yes,n,n,1,783
1,22,right,male,1,49,常人,C.bmp,Normal,Yes,n,n,1,747
1,22,right,male,1,50,恶人,S.bmp,Bad,Yes,n,,0,0
1,22,right,male,1,51,恶人,S.bmp,Bad,Yes,n,n,1,882
1,22,right,male,1,52,善人,C.bmp,Normal,No,m,m,1,1005
1,22,right,male,1,53,善人,S.bmp,Bad,No,m,m,1,848
1,22,right,male,1,54,恶人,T.bmp,Good,No,m,m,1,860
1,22,right,male,1,55,常人,C.bmp,Normal,Yes,n,,0,0
1,22,right,male,1,56,善人,T.bmp,Good,Yes,n,n,1,682
1,22,right,male,1,57,常人,S.bmp,Bad,No,m,m,1,669
1,22,right,male,1,58,恶人,C.bmp,Normal,No,m,m,1,976
1,22,right,male,1,59,常人,T.bmp,Good,No,m,n,0,708
1,22,right,male,1,60,善人,T.bmp,Good,Yes,n,n,1,655
1,22,right,male,2,1,恶人,C.bmp,Normal,No,m,m,1,743
1,22,right,male,2,2,常人,S.bmp,Bad,No,m,m,1,875
1,22,right,male,2,3,常人,C.bmp,Normal,Yes,n,m,0,734
1,22,right,male,2,4,常人,C.bmp,Normal,Yes,n,n,1,682
1,22,right,male,2,5,善人,S.bmp,Bad,No,m,m,1,829
1,22,right,male,2,6,常人,T.bmp,Good,No,m,m,1,848
1,22,right,male,2,7,善人,T.bmp,Good,Yes,n,m,0,676
1,22,right,male,2,8,恶人,S.bmp,Bad,Yes,n,n,1,815
1,22,right,male,2,9,善人,C.bmp,Normal,No,m,m,1,899
1,22,right,male,2,10,恶人,S.bmp,Bad,Yes,n,n,1,910
1,22,right,male,2,11,善人,T.bmp,Good,Yes,n,m,0,674
1,22,right,male,2,12,恶人,T.bmp,Good,No,m,m,1,685
1,22,right,male,2,13,常人,T.bmp,Good,No,m,m,1,904
1,22,right,male,2,14,恶人,S.bmp,Bad,Yes,n,n,1,1004
1,22,right,male,2,15,善人,T.bmp,Good,Yes,n,,0,0
1,22,right,male,2,16,常人,C.bmp,Normal,Yes,n,n,1,891
1,22,right,male,2,17,善人,C.bmp,Normal,No,m,n,0,902
1,22,right,male,2,18,常人,C.bmp,Normal,Yes,n,m,0,937
1,22,right,male,2,19,恶人,T.bmp,Good,No,m,m,1,853
1,22,right,male,2,20,常人,S.bmp,Bad,No,m,m,1,952
1,22,right,male,2,21,善人,S.bmp,Bad,No,m,m,1,828
1,22,right,male,2,22,恶人,C.bmp,Normal,No,m,m,1,1063
1,22,right,male,2,23,恶人,S.bmp,Bad,Yes,n,n,1,859
1,22,right,male,2,24,善人,T.bmp,Good,Yes,n,n,1,797
1,22,right,male,2,25,善人,C.bmp,Normal,No,m,m,1,976
1,22,right,male,2,26,常人,S.bmp,Bad,No,m,m,1,1012
1,22,right,male,2,27,常人,C.bmp,Normal,Yes,n,,0,0
1,22,right,male,2,28,恶人,S.bmp,Bad,Yes,n,m,0,747
1,22,right,male,2,29,善人,T.bmp,Good,Yes,n,n,1,1022
1,22,right,male,2,30,恶人,C.bmp,Normal,No,m,m,1,922
1,22,right,male,2,31,善人,S.bmp,Bad,No,m,n,0,821
1,22,right,male,2,32,恶人,S.bmp,Bad,Yes,n,n,1,776
1,22,right,male,2,33,恶人,T.bmp,Good,No,m,m,1,828
1,22,right,male,2,34,常人,C.bmp,Normal,Yes,n,n,1,767
1,22,right,male,2,35,常人,T.bmp,Good,No,m,m,1,691
1,22,right,male,2,36,善人,T.bmp,Good,Yes,n,n,1,718
1,22,right,male,2,37,善人,T.bmp,Good,Yes,n,n,1,1089
1,22,right,male,2,38,常人,C.bmp,Normal,Yes,n,m,0,789
1,22,right,male,2,39,善人,S.bmp,Bad,No,m,m,1,672
1,22,right,male,2,40,善人,C.bmp,Normal,No,m,m,1,1036
1,22,right,male,2,41,恶人,S.bmp,Bad,Yes,n,n,1,735
1,22,right,male,2,42,恶人,C.bmp,Normal,No,m,m,1,715
1,22,right,male,2,43,常人,C.bmp,Normal,Yes,n,m,0,654
1,22,right,male,2,44,恶人,S.bmp,Bad,Yes,n,n,1,593
1,22,right,male,2,45,恶人,T.bmp,Good,No,m,m,1,685
1,22,right,male,2,46,常人,S.bmp,Bad,No,m,n,0,944
1,22,right,male,2,47,常人,T.bmp,Good,No,m,m,1,1020
1,22,right,male,2,48,善人,T.bmp,Good,Yes,n,m,0,751
1,22,right,male,2,49,善人,T.bmp,Good,Yes,n,n,1,794
1,22,right,male,2,50,善人,S.bmp,Bad,No,m,m,1,678
1,22,right,male,2,51,常人,C.bmp,Normal,Yes,n,n,1,873
1,22,right,male,2,52,恶人,S.bmp,Bad,Yes,n,n,1,989
1,22,right,male,2,53,善人,T.bmp,Good,Yes,n,,0,0
1,22,right,male,2,54,恶人,T.bmp,Good,No,m,n,0,628
1,22,right,male,2,55,善人,C.bmp,Normal,No,m,m,1,1055
1,22,right,male,2,56,恶人,S.bmp,Bad,Yes,n,n,1,778
1,22,right,male,2,57,常人,S.bmp,Bad,No,m,m,1,942
1,22,right,male,2,58,常人,T.bmp,Good,No,m,n,0,985
1,22,right,male,2,59,常人,C.bmp,Normal,Yes,n,m,0,676
1,22,right,male,2,60,恶人,C.bmp,Normal,No,m,m,1,799
1,22,right,male,3,1,善人,T.bmp,Good,Yes,n,n,1,804
1,22,right,male,3,2,恶人,T.bmp,Good,No,m,m,1,632
1,22,right,male,3,3,恶人,S.bmp,Bad,Yes,n,m,0,867
1,22,right,male,3,4,常人,T.bmp,Good,No,m,m,1,791
1,22,right,male,3,5,常人,C.bmp,Normal,Yes,n,n,1,746
1,22,right,male,3,6,善人,S.bmp,Bad,No,m,m,1,926
1,22,right,male,3,7,常人,C.bmp,Normal,Yes,n,n,1,889
1,22,right,male,3,8,善人,T.bmp,Good,Yes,n,n,1,780
1,22,right,male,3,9,善人,C.bmp,Normal,No,m,n,0,720
1,22,right,male,3,10,恶人,C.bmp,Normal,No,m,m,1,939
1,22,right,male,3,11,恶人,S.bmp,Bad,Yes,n,n,1,807
1,22,right,male,3,12,常人,S.bmp,Bad,No,m,n,0,746
1,22,right,male,3,13,常人,C.bmp,Normal,Yes,n,n,1,869
1,22,right,male,3,14,恶人,T.bmp,Good,No,m,m,1,697
1,22,right,male,3,15,善人,T.bmp,Good,Yes,n,n,1,740
1,22,right,male,3,16,常人,S.bmp,Bad,No,m,m,1,1088
1,22,right,male,3,17,善人,S.bmp,Bad,No,m,m,1,923
1,22,right,male,3,18,恶人,C.bmp,Normal,No,m,m,1,1007
1,22,right,male,3,19,常人,C.bmp,Normal,Yes,n,n,1,898
1,22,right,male,3,20,恶人,S.bmp,Bad,Yes,n,n,1,869
1,22,right,male,3,21,恶人,S.bmp,Bad,Yes,n,,0,0
1,22,right,male,3,22,善人,C.bmp,Normal,No,m,m,1,772
1,22,right,male,3,23,善人,T.bmp,Good,Yes,n,n,1,736
1,22,right,male,3,24,常人,T.bmp,Good,No,m,m,1,867
1,22,right,male,3,25,恶人,S.bmp,Bad,Yes,n,n,1,783
1,22,right,male,3,26,常人,S.bmp,Bad,No,m,m,1,914
1,22,right,male,3,27,恶人,S.bmp,Bad,Yes,n,m,0,924
1,22,right,male,3,28,善人,S.bmp,Bad,No,m,,0,0
1,22,right,male,3,29,恶人,C.bmp,Normal,No,m,n,0,867
1,22,right,male,3,30,善人,C.bmp,Normal,No,m,m,1,855
1,22,right,male,3,31,恶人,T.bmp,Good,No,m,m,1,706
